track_no	source_row_id	source_work	source_composer	source_recording	source_performers	platform	playlist_name	playlist_visibility	query_attempt	platform_query	source_search_keywords	selected_title	selected_creator_or_artist	selected_album_or_source	selected_duration	selected_url	selected_isrc_or_platform_id	match_status	fallback_used	substitution_reason	expected_order	final_order	order_status	reviewed_by	review_date	notes
001	classical_atlas_001	Gregorian Chant: Dies irae	Anonymous	Chant: Music for the Soul	Benedictine Monks of Santo Domingo de Silos	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Gregorian Chant Dies irae Benedictine Monks Santo Domingo de Silos	Gregorian Chant Dies irae Benedictine Monks Santo Domingo de Silos							needs_human_review	no		001	001	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
002	classical_atlas_002	O viridissima virga, BN 19	Hildegard von Bingen	A Feather on the Breath of God	Emma Kirkby, Gothic Voices, Christopher Page	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Hildegard O viridissima virga Emma Kirkby Gothic Voices	Hildegard O viridissima virga Emma Kirkby Gothic Voices							needs_human_review	no		002	002	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
003	classical_atlas_003	Viderunt omnes	Pérotin	Perotin and the Ars Antiqua	The Hilliard Ensemble	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Pérotin Viderunt omnes Hilliard Ensemble	Pérotin Viderunt omnes Hilliard Ensemble							needs_human_review	no		003	003	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
004	classical_atlas_004	Messe de Nostre Dame: Kyrie	Guillaume de Machaut	Messe de Nostre Dame	Ensemble Organum, Marcel Pérès	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Machaut Messe de Nostre Dame Kyrie Ensemble Organum	Machaut Messe de Nostre Dame Kyrie Ensemble Organum							needs_human_review	no		004	004	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
005	classical_atlas_005	Nuper rosarum flores	Guillaume Dufay	Dufay: Flos florum	The Hilliard Ensemble	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Dufay Nuper rosarum flores Hilliard Ensemble	Dufay Nuper rosarum flores Hilliard Ensemble							needs_human_review	no		005	005	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
006	classical_atlas_006	Ave Maria ... virgo serena	Josquin des Prez	Josquin: Motets	The Tallis Scholars, Peter Phillips	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Josquin Ave Maria virgo serena Tallis Scholars	Josquin Ave Maria virgo serena Tallis Scholars							needs_human_review	no		006	006	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
007	classical_atlas_007	Missa Papae Marcelli: Kyrie	Giovanni Pierluigi da Palestrina	Palestrina: Missa Papae Marcelli	The Tallis Scholars, Peter Phillips	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Palestrina Missa Papae Marcelli Kyrie Tallis Scholars	Palestrina Missa Papae Marcelli Kyrie Tallis Scholars							needs_human_review	no		007	007	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
008	classical_atlas_008	Spem in alium	Thomas Tallis	Tallis: Spem in alium	The Tallis Scholars, Peter Phillips	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	Tallis Spem in alium Tallis Scholars Peter Phillips	Tallis Spem in alium Tallis Scholars Peter Phillips							needs_human_review	no		008	008	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
009	classical_atlas_009	Haec dies	William Byrd	Byrd: Masses and Motets	The Cardinall's Musick, Andrew Carwood	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	William Byrd Haec dies Cardinall's Musick	William Byrd Haec dies Cardinall's Musick							needs_human_review	no		009	009	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
010	classical_atlas_010	Flow my tears	John Dowland	Dowland: In Darkness Let Me Dwell	Andreas Scholl, Julian Behr	Apple Music / Apple Music Classical	Classical Atlas: Introductory Listening Guide	not_recorded	strict	John Dowland Flow my tears Andreas Scholl	John Dowland Flow my tears Andreas Scholl							needs_human_review	no		010	010	not_visible	Codex reconstruction from case-study TSV	2026-04-27	Reconstructed from case-study TSV. Source metadata is preserved in source_* fields; selected platform result fields are blank because stable URL, duration, platform ID, and re-inspectable final platform state were not captured.
