row_id	chapter	period_range	genre_or_form	track_no	after_1900	composer	composer_zh	composer_western	composer_ipa	composer_wiki	work	recommended_recording	performers	search_keywords	strict_search_query	medium_search_query	fallback_search_query	playable_type	apple_search_keywords	difficulty	role
classical_atlas_001	01 Early Music and Polyphony	c. 9th century-1600	chant	001	no	Anonymous		Anonymous	/əˈnɑːnɪməs/	https://en.wikipedia.org/wiki/Anonymous_work	Gregorian Chant: Dies irae	Chant: Music for the Soul	Benedictine Monks of Santo Domingo de Silos	Gregorian Chant Dies irae Benedictine Monks Santo Domingo de Silos	Anonymous Gregorian Chant: Dies irae Benedictine Monks of Santo Domingo de Silos	Anonymous Gregorian Chant: Dies irae	Anonymous Chant: Music for the Soul	audio_track	Gregorian Chant Dies irae Benedictine Monks Santo Domingo de Silos	basic	Representative listening example for 01 Early Music and Polyphony.
classical_atlas_002	01 Early Music and Polyphony	c. 9th century-1600	chant	002	no	Hildegard von Bingen		Hildegard von Bingen	/ˈhɪldəɡɑːrd vɒn ˈbɪŋən/	https://en.wikipedia.org/wiki/Hildegard_of_Bingen	O viridissima virga, BN 19	A Feather on the Breath of God	Emma Kirkby, Gothic Voices, Christopher Page	Hildegard O viridissima virga Emma Kirkby Gothic Voices	Hildegard von Bingen O viridissima virga, BN 19 Emma Kirkby, Gothic Voices, Christopher Page	Hildegard von Bingen O viridissima virga, BN 19	Hildegard von Bingen A Feather on the Breath of God	audio_track	Hildegard O viridissima virga Emma Kirkby Gothic Voices	basic	Representative listening example for 01 Early Music and Polyphony.
classical_atlas_003	01 Early Music and Polyphony	c. 9th century-1600	polyphonic chant	003	no	Pérotin		Pérotin	/ˈpɛrətɪn/	https://en.wikipedia.org/wiki/P%C3%A9rotin	Viderunt omnes	Perotin and the Ars Antiqua	The Hilliard Ensemble	Pérotin Viderunt omnes Hilliard Ensemble	Pérotin Viderunt omnes The Hilliard Ensemble	Pérotin Viderunt omnes	Pérotin Perotin and the Ars Antiqua	audio_track	Pérotin Viderunt omnes Hilliard Ensemble	advanced	Representative listening example for 01 Early Music and Polyphony.
classical_atlas_004	01 Early Music and Polyphony	c. 9th century-1600	mass	004	no	Guillaume de Machaut		Guillaume de Machaut	/ɡiˈjoʊm də mæˈʃoʊ/	https://en.wikipedia.org/wiki/Guillaume_de_Machaut	Messe de Nostre Dame: Kyrie	Messe de Nostre Dame	Ensemble Organum, Marcel Pérès	Machaut Messe de Nostre Dame Kyrie Ensemble Organum	Guillaume de Machaut Messe de Nostre Dame: Kyrie Ensemble Organum, Marcel Pérès	Guillaume de Machaut Messe de Nostre Dame: Kyrie	Guillaume de Machaut Messe de Nostre Dame	audio_track	Machaut Messe de Nostre Dame Kyrie Ensemble Organum	advanced	Representative listening example for 01 Early Music and Polyphony.
classical_atlas_005	01 Early Music and Polyphony	c. 9th century-1600	motet	005	no	Guillaume Dufay		Guillaume Dufay	/ɡiˈjoʊm duːˈfaɪ/	https://en.wikipedia.org/wiki/Guillaume_Du_Fay	Nuper rosarum flores	Dufay: Flos florum	The Hilliard Ensemble	Dufay Nuper rosarum flores Hilliard Ensemble	Guillaume Dufay Nuper rosarum flores The Hilliard Ensemble	Guillaume Dufay Nuper rosarum flores	Guillaume Dufay Dufay: Flos florum	audio_track	Dufay Nuper rosarum flores Hilliard Ensemble	advanced	Representative listening example for 01 Early Music and Polyphony.
classical_atlas_006	01 Early Music and Polyphony	c. 9th century-1600	motet	006	no	Josquin des Prez		Josquin des Prez	/ʒɒsˈkæn deɪ ˈpreɪ/	https://en.wikipedia.org/wiki/Josquin_des_Prez	Ave Maria ... virgo serena	Josquin: Motets	The Tallis Scholars, Peter Phillips	Josquin Ave Maria virgo serena Tallis Scholars	Josquin des Prez Ave Maria ... virgo serena The Tallis Scholars, Peter Phillips	Josquin des Prez Ave Maria ... virgo serena	Josquin des Prez Josquin: Motets	audio_track	Josquin Ave Maria virgo serena Tallis Scholars	basic	Representative listening example for 01 Early Music and Polyphony.
classical_atlas_007	01 Early Music and Polyphony	c. 9th century-1600	mass	007	no	Giovanni Pierluigi da Palestrina		Giovanni Pierluigi da Palestrina	/dʒoʊˈvɑːni ˌpjɛərluˈiːdʒi dɑː ˌpælɛˈstriːnə/	https://en.wikipedia.org/wiki/Giovanni_Pierluigi_da_Palestrina	Missa Papae Marcelli: Kyrie	Palestrina: Missa Papae Marcelli	The Tallis Scholars, Peter Phillips	Palestrina Missa Papae Marcelli Kyrie Tallis Scholars	Giovanni Pierluigi da Palestrina Missa Papae Marcelli: Kyrie The Tallis Scholars, Peter Phillips	Giovanni Pierluigi da Palestrina Missa Papae Marcelli: Kyrie	Giovanni Pierluigi da Palestrina Palestrina: Missa Papae Marcelli	audio_track	Palestrina Missa Papae Marcelli Kyrie Tallis Scholars	basic	Representative listening example for 01 Early Music and Polyphony.
classical_atlas_008	01 Early Music and Polyphony	c. 9th century-1600	motet	008	no	Thomas Tallis		Thomas Tallis	/ˈtɒməs ˈtælɪs/	https://en.wikipedia.org/wiki/Thomas_Tallis	Spem in alium	Tallis: Spem in alium	The Tallis Scholars, Peter Phillips	Tallis Spem in alium Tallis Scholars Peter Phillips	Thomas Tallis Spem in alium The Tallis Scholars, Peter Phillips	Thomas Tallis Spem in alium	Thomas Tallis Tallis: Spem in alium	audio_track	Tallis Spem in alium Tallis Scholars Peter Phillips	advanced	Representative listening example for 01 Early Music and Polyphony.
classical_atlas_009	01 Early Music and Polyphony	c. 9th century-1600	motet	009	no	William Byrd		William Byrd	/ˈwɪljəm bɜːrd/	https://en.wikipedia.org/wiki/William_Byrd	Haec dies	Byrd: Masses and Motets	The Cardinall's Musick, Andrew Carwood	William Byrd Haec dies Cardinall's Musick	William Byrd Haec dies The Cardinall's Musick, Andrew Carwood	William Byrd Haec dies	William Byrd Byrd: Masses and Motets	audio_track	William Byrd Haec dies Cardinall's Musick	basic	Representative listening example for 01 Early Music and Polyphony.
classical_atlas_010	01 Early Music and Polyphony	c. 9th century-1600	vocal work	010	no	John Dowland		John Dowland	/ˈdʒɒn ˈdaʊlənd/	https://en.wikipedia.org/wiki/John_Dowland	Flow my tears	Dowland: In Darkness Let Me Dwell	Andreas Scholl, Julian Behr	John Dowland Flow my tears Andreas Scholl	John Dowland Flow my tears Andreas Scholl, Julian Behr	John Dowland Flow my tears	John Dowland Dowland: In Darkness Let Me Dwell	audio_track	John Dowland Flow my tears Andreas Scholl	basic	Representative listening example for 01 Early Music and Polyphony.
classical_atlas_011	01 Early Music and Polyphony	c. 9th century-1600	opera	011	no	Claudio Monteverdi		Claudio Monteverdi	/ˈklaʊdioʊ ˌmɒntɪˈvɛərdi/	https://en.wikipedia.org/wiki/Claudio_Monteverdi	L'Orfeo: Toccata	Monteverdi: L'Orfeo	John Eliot Gardiner, English Baroque Soloists	Monteverdi L'Orfeo Toccata Gardiner English Baroque Soloists	Claudio Monteverdi L'Orfeo: Toccata John Eliot Gardiner, English Baroque Soloists	Claudio Monteverdi L'Orfeo: Toccata	Claudio Monteverdi Monteverdi: L'Orfeo	audio_track	Monteverdi L'Orfeo Toccata Gardiner English Baroque Soloists	basic	Representative listening example for 01 Early Music and Polyphony.
classical_atlas_012	01 Early Music and Polyphony	c. 9th century-1600	vocal work	012	no	Claudio Monteverdi		Claudio Monteverdi	/ˈklaʊdioʊ ˌmɒntɪˈvɛərdi/	https://en.wikipedia.org/wiki/Claudio_Monteverdi	Vespro della Beata Vergine: Deus in adjutorium	Monteverdi: Vespro della Beata Vergine	John Eliot Gardiner, Monteverdi Choir	Monteverdi Vespers Deus in adjutorium Gardiner	Claudio Monteverdi Vespro della Beata Vergine: Deus in adjutorium John Eliot Gardiner, Monteverdi Choir	Claudio Monteverdi Vespro della Beata Vergine: Deus in adjutorium	Claudio Monteverdi Monteverdi: Vespro della Beata Vergine	audio_track	Monteverdi Vespers Deus in adjutorium Gardiner	advanced	Representative listening example for 01 Early Music and Polyphony.
classical_atlas_013	01 Early Music and Polyphony	c. 9th century-1600	instrumental sonata/brass ensemble	013	no	Giovanni Gabrieli		Giovanni Gabrieli	/dʒoʊˈvɑːni ˌɡæbriˈɛli/	https://en.wikipedia.org/wiki/Giovanni_Gabrieli	Sonata pian e forte	Gabrieli: Music for San Rocco	Philip Jones Brass Ensemble	Gabrieli Sonata pian e forte Philip Jones Brass Ensemble	Giovanni Gabrieli Sonata pian e forte Philip Jones Brass Ensemble	Giovanni Gabrieli Sonata pian e forte	Giovanni Gabrieli Gabrieli: Music for San Rocco	audio_track	Gabrieli Sonata pian e forte Philip Jones Brass Ensemble	advanced	Representative listening example for 01 Early Music and Polyphony.
classical_atlas_014	01 Early Music and Polyphony	c. 9th century-1600	vocal work	014	no	Carlo Gesualdo		Carlo Gesualdo	/ˈkɑːrloʊ ˌdʒɛzuˈɑːldoʊ/	https://en.wikipedia.org/wiki/Carlo_Gesualdo	Moro, lasso	Gesualdo: Tenebrae Responsories	Hilliard Ensemble	Gesualdo Moro lasso Hilliard Ensemble	Carlo Gesualdo Moro, lasso Hilliard Ensemble	Carlo Gesualdo Moro, lasso	Carlo Gesualdo Gesualdo: Tenebrae Responsories	audio_track	Gesualdo Moro lasso Hilliard Ensemble	advanced	Representative listening example for 01 Early Music and Polyphony.
classical_atlas_015	02 Baroque	c. 1600-1750	concerto	015	no	Arcangelo Corelli		Arcangelo Corelli	/ɑːrˈkændʒəloʊ kɔːˈrɛli/	https://en.wikipedia.org/wiki/Arcangelo_Corelli	Concerto Grosso in G Minor, Op. 6 No. 8 "Christmas Concerto"	Corelli: Concerti Grossi Op. 6	Trevor Pinnock, The English Concert	Corelli Christmas Concerto Op 6 No 8 Trevor Pinnock	Arcangelo Corelli Concerto Grosso in G Minor, Op. 6 No. 8 "Christmas Concerto" Trevor Pinnock, The English Concert	Arcangelo Corelli Concerto Grosso in G Minor, Op. 6 No. 8 "Christmas Concerto"	Arcangelo Corelli Corelli: Concerti Grossi Op. 6	audio_track	Corelli Christmas Concerto Op 6 No 8 Trevor Pinnock	basic	Representative listening example for 02 Baroque.
classical_atlas_016	02 Baroque	c. 1600-1750	concerto	016	no	Antonio Vivaldi		Antonio Vivaldi	/ænˈtoʊnioʊ vɪˈvɑːldi/	https://en.wikipedia.org/wiki/Antonio_Vivaldi	The Four Seasons: Spring, I. Allegro	Vivaldi: The Four Seasons	Fabio Biondi, Europa Galante	Vivaldi Spring Fabio Biondi Europa Galante	Antonio Vivaldi The Four Seasons: Spring, I. Allegro Fabio Biondi, Europa Galante	Antonio Vivaldi The Four Seasons: Spring, I. Allegro	Antonio Vivaldi Vivaldi: The Four Seasons	audio_track	Vivaldi Spring Fabio Biondi Europa Galante	basic	Representative listening example for 02 Baroque.
